79, 65.1, 167772370, 167772369, 11, 11, 17, 34, 23, 15, 14, 0.100001, 0.0390964, 0.0400016, 3.84143e-07, 0, run-1726712721, 10, 0.00614373, 1
86, 65.1, 167772322, 167772321, 14, 21, 17, 23, 21, 23, 13, 0.095249, 0.09812, 0.227905, 0.00694527, 0.551724, run-1726712721, 1, 0.362266, 1
87, 65.1, 167772170, 167772169, 14, 14, 17, 21, 1, 9, 10, 0.0940002, 0.0686, 0.0200018, 1.02e-07, 0, run-1726712721, 1, 0.00381743, 1
88, 65.1, 167772374, 167772373, 11, 11, 17, 35, 23, 14, 19, 0.104, 0.441662, 0.0300017, 3.10737e-07, 0, run-1726712721, 11, 0.00585669, 1
94, 65.1, 167772322, 167772321, 14, 22, 17, 23, 21, 27, 13, 0.0964404, 0.148725, 0.206616, 0.00702179, 0.133333, run-1726712721, 2, 0.068712, 1
96, 65.1, 167772178, 167772177, 14, 14, 17, 21, 2, 11, 10, 0.102, 0.125352, 0.0100016, 6.272e-07, 0, run-1726712721, 2, 0.0133187, 1
97, 65.1, 167772378, 167772377, 11, 11, 17, 36, 23, 20, 14, 0.0959996, 0.418311, 0.0500015, 5.98e-07, 0, run-1726712721, 12, 0.00696871, 1
104, 65.1, 167772322, 167772321, 14, 23, 17, 23, 21, 34, 13, 0.0955009, 0.115483, 0.215808, 0.00843809, 0.59375, run-1726712721, 3, 0.396887, 1
105, 65.1, 167772186, 167772185, 14, 14, 17, 21, 3, 12, 14, 0.103001, 0.277272, 0.0300017, 2.77643e-07, 0, run-1726712721, 3, 0.00370339, 1
106, 65.1, 167772382, 167772381, 11, 11, 17, 37, 23, 12, 17, 0.104999, 0.445868, 0.0400017, 2.55882e-07, 0, run-1726712721, 13, 0.00591382, 1
113, 65.1, 167772322, 167772321, 14, 24, 17, 23, 21, 39, 15, 0.1034, 0.0834829, 0.182275, 0.00638846, 0.285714, run-1726712721, 4, 0.11725, 1
114, 65.1, 167772194, 167772193, 14, 14, 17, 21, 4, 12, 12, 0.103001, 0.520656, 0.0100017, 5.62833e-07, 0, run-1726712721, 4, 0.00600367, 1
115, 65.1, 167772386, 167772385, 11, 11, 17, 38, 23, 22, 25, 0.1, 0.220075, 0.0400017, 3.0168e-07, 0, run-1726712721, 14, 0.00535596, 1
125, 65.1, 167772322, 167772321, 14, 25, 17, 23, 21, 26, 15, 0.105433, 0.106454, 0.195466, 0.00779349, 0.482759, run-1726712721, 5, 0.288368, 1
127, 65.1, 167772390, 167772389, 11, 11, 17, 39, 23, 25, 25, 0.1, 0.227755, 0.0300018, 2.3792e-07, 0, run-1726712721, 15, 0.00456182, 1
128, 65.1, 167772202, 167772201, 14, 14, 17, 21, 5, 13, 11, 0.102, 0.368135, 0.0100016, 4.90545e-07, 0, run-1726712721, 5, 0.00328071, 1
138, 65.1, 167772326, 167772325, 14, 20, 17, 23, 22, 29, 20, 0.080547, 0.535545, 0.172908, 0.00186286, 0, run-1726712721, 6, 0.0416862, 1
139, 65.1, 167772214, 167772213, 14, 14, 17, 22, 6, 19, 20, 0.0899995, 0.666513, 0.0100017, 3.601e-07, 0, run-1726712721, 6, 0.0043541, 1
140, 65.1, 167772394, 167772393, 11, 11, 17, 40, 23, 15, 21, 0.105999, 0.279843, 0.0500017, 2.46238e-07, 0, run-1726712721, 16, 0.0195451, 1
147, 65.1, 167772322, 167772321, 14, 26, 17, 23, 21, 20, 14, 0.104526, 0.147942, 0.261254, 0.00671092, 0.3, run-1726712721, 7, 0.207237, 1
